review ,voted_up,issue_category
"The combat is fun, but the tutorial barely explains how crafting works.",FALSE,Tutorial
I love the art style and music. The game feels polished and relaxing.,TRUE,Positive
The inventory is clunky and I spend too much time sorting items.,FALSE,Inventory
The game runs poorly on my laptop and the frame drops make it hard to play.,FALSE,Performance
"The boss fights are exciting, but the difficulty spike in chapter two feels unfair.",FALSE,Difficulty
The UI is confusing. I could not find the quest log for the first hour.,FALSE,UI
This is one of the best indie games I have played this year.,TRUE,Positive
The gameplay loop gets repetitive after a few hours.,FALSE,Gameplay
There are too many bugs. My save file crashed twice.,FALSE,Bugs
The dialogue choices are interesting and make the story more engaging.,TRUE,Positive
